legacy_id	new_id
DMP0569	P-0000611-T01
DMP0561	P-0000612-T01
DMP0556	P-0000613-T01
DMP0559	P-0000614-T01
DMP0563	P-0000615-T01
DMP0564	P-0000616-T01
DMP0567	P-0000617-T01
DMP0572	P-0000618-T01
DMP0581	P-0000619-T01
DMP0579	P-0000620-T01
DMP0571	P-0000621-T01
DMP0574	P-0000622-T01
DMP0580	P-0000623-T01
DMP0575	P-0000624-T01
DMP0576	P-0000625-T01
DMP0578	P-0000626-T01
DMP0573	P-0000627-T01
DMP0577	P-0000628-T01
DMP0583	P-0000629-T01
DMP0582	P-0000630-T01
DMP0586	P-0000632-T01
DMP0584	P-0000633-T01
DMP0597	P-0000634-T01
DMP0592	P-0000635-T01
DMP0594	P-0000636-T01
DMP0590	P-0000637-T01
DMP0596	P-0000638-T01
DMP0591	P-0000639-T01
DMP0593	P-0000640-T01
DMP0585	P-0000641-T01
DMP0589	P-0000642-T01
DMP0587	P-0000643-T01
DMP0595	P-0000644-T01
DMP0588	P-0000645-T01
DMP0606	P-0000647-T01
DMP0608	P-0000648-T01
DMP0598	P-0000649-T01
DMP0607	P-0000650-T01
DMP0599	P-0000651-T01
DMP0610	P-0000652-T01
DMP0601	P-0000653-T01
DMP0609	P-0000654-T01
DMP0605	P-0000655-T01
DMP0603	P-0000656-T01
DMP0600	P-0000657-T01
DMP0602	P-0000658-T01
DMP1192	P-0000505-T01
DMP0604	P-0000659-T01
DMP0623	P-0000660-T01
DMP0611	P-0000661-T01
DMP0619	P-0000662-T01
DMP0613	P-0000663-T01
DMP0614	P-0000664-T01
DMP0615	P-0000665-T01
DMP0617	P-0000666-T01
DMP0616	P-0000667-T01
DMP0625	P-0000668-T01
DMP0622	P-0000669-T01
DMP0612	P-0000670-T01
DMP0618	P-0000671-T01
DMP0624	P-0000672-T01
DMP0620	P-0000673-T01
DMP0621	P-0000674-T01
DMP0626	P-0000675-T01
DMP0640	P-0000676-T01
DMP0629	P-0000677-T01
DMP0638	P-0000678-T01
DMP0635	P-0000679-T01
DMP0630	P-0000680-T01
DMP0637	P-0000681-T01
DMP0633	P-0000682-T01
DMP0634	P-0000683-T01
DMP0631	P-0000684-T01
DMP0636	P-0000685-T01
DMP0639	P-0000686-T01
DMP0065	P-0000550-T04
DMP0627	P-0000687-T01
DMP0628	P-0000688-T01
DMP0632	P-0000689-T01
DMP0652	P-0000690-T01
DMP0650	P-0000692-T01
DMP0643	P-0000693-T01
DMP0644	P-0000694-T01
DMP0653	P-0000695-T01
DMP0646	P-0000696-T01
DMP0647	P-0000697-T01
DMP0645	P-0000698-T01
DMP0648	P-0000699-T01
DMP0651	P-0000700-T01
DMP0641	P-0000702-T01
DMP0649	P-0000703-T01
DMP0642	P-0000704-T01
DMP0658	P-0000705-T01
DMP0661	P-0000706-T01
DMP0665	P-0000707-T01
DMP0664	P-0000708-T01
DMP0657	P-0000709-T01
DMP0654	P-0000710-T01
DMP0663	P-0000711-T01
DMP0659	P-0000713-T01
DMP0662	P-0000714-T01
DMP0660	P-0000716-T01
DMP0656	P-0000717-T01
DMP0655	P-0000718-T01
DMP0669	P-0000719-T01
DMP0666	P-0000720-T01
DMP0679	P-0000721-T01
DMP0667	P-0000675-T02
DMP0671	P-0000379-T02
DMP0677	P-0000722-T01
DMP0674	P-0000723-T01
DMP0675	P-0000724-T01
DMP0670	P-0000725-T01
DMP0673	P-0000726-T01
DMP0676	P-0000728-T01
DMP0678	P-0000729-T01
DMP0668	P-0000730-T01
DMP0672	P-0000731-T01
DMP0682	P-0000732-T01
DMP0683	P-0000733-T01
DMP0693	P-0000735-T01
DMP0687	P-0000736-T01
DMP0680	P-0000737-T01
DMP0681	P-0000738-T01
DMP0691	P-0000739-T01
DMP0685	P-0000740-T01
DMP0686	P-0000741-T01
DMP0689	P-0000742-T01
DMP0684	P-0000743-T01
DMP0690	P-0000744-T01
DMP0692	P-0000745-T01
DMP0688	P-0000746-T01
DMP0703	P-0000747-T01
DMP0696	P-0000748-T01
DMP0702	P-0000749-T01
DMP0698	P-0000750-T01
DMP0704	P-0000751-T01
DMP0705	P-0000754-T01
DMP0695	P-0000755-T01
DMP0701	P-0000756-T01
DMP0697	P-0000757-T01
DMP0700	P-0000758-T01
DMP0699	P-0000759-T01
DMP0694	P-0000760-T01
DMP0706	P-0000761-T01
DMP0710	P-0000762-T01
DMP0711	P-0000763-T01
DMP0717	P-0000764-T01
DMP0708	P-0000525-T02
DMP0718	P-0000765-T01
DMP0709	P-0000766-T01
DMP0713	P-0000767-T01
DMP0715	P-0000768-T01
DMP0712	P-0000769-T01
DMP0714	P-0000770-T01
DMP0707	P-0000771-T01
DMP0716	P-0000772-T01
DMP0731	P-0000774-T01
DMP0732	P-0000539-T02
DMP0720	P-0000775-T01
DMP0722	P-0000776-T01
DMP0730	P-0000777-T01
DMP0726	P-0000778-T01
DMP0719	P-0000779-T01
DMP0724	P-0000780-T01
DMP0727	P-0000100-T02
