mature	precursor	alias
hsa-mir-1913	hsa-miR-1913	mir-1913/1913
hsa-mir-1914	hsa-miR-1914	mir-1914/1914
hsa-mir-1914	hsa-miR-1914*	mir-1914/1914*
hsa-mir-1915	hsa-miR-1915*	mir-1915/1915*
hsa-mir-1915	hsa-miR-1915	mir-1915/1915
hsa-mir-192	hsa-miR-192	mir-192/192
hsa-mir-192	hsa-miR-192*	mir-192/192*
hsa-mir-193a	hsa-miR-193a-5p	mir-193a/5p
hsa-mir-193a	hsa-miR-193a-3p	mir-193a/3p
hsa-mir-193b	hsa-miR-193b*	mir-193b/193b*
hsa-mir-193b	hsa-miR-193b	mir-193b/193b
hsa-mir-194-1	hsa-miR-194	mir-194-1/194
hsa-mir-194-2	hsa-miR-194*	mir-194-2/194*
hsa-mir-194-2	hsa-miR-194	mir-194-2/194
hsa-mir-195	hsa-miR-195	mir-195/195
hsa-mir-195	hsa-miR-195*	mir-195/195*
hsa-mir-196a-1	hsa-miR-196a	mir-196a-1/196a
hsa-mir-196a-2	hsa-miR-196a*	mir-196a-2/196a*
hsa-mir-196a-2	hsa-miR-196a	mir-196a-2/196a
hsa-mir-196b	hsa-miR-196b	mir-196b/196b
hsa-mir-196b	hsa-miR-196b*	mir-196b/196b*
hsa-mir-197	hsa-miR-197	mir-197/197
hsa-mir-1972-1	hsa-miR-1972	mir-1972-1/1972
hsa-mir-1972-2	hsa-miR-1972	mir-1972-2/1972
hsa-mir-1973	hsa-miR-1973	mir-1973/1973
hsa-mir-1976	hsa-miR-1976	mir-1976/1976
hsa-mir-198	hsa-miR-198	mir-198/198
hsa-mir-199a-1	hsa-miR-199a-5p	mir-199a-1/5p
hsa-mir-199a-1	hsa-miR-199a-3p	mir-199a-1/3p
hsa-mir-199a-2	hsa-miR-199a-5p	mir-199a-2/5p
hsa-mir-199a-2	hsa-miR-199a-3p	mir-199a-2/3p
hsa-mir-199b	hsa-miR-199b-5p	mir-199b/5p
hsa-mir-199b	hsa-miR-199b-3p	mir-199b/3p
hsa-mir-19a	hsa-miR-19a*	mir-19a/19a*
hsa-mir-19a	hsa-miR-19a	mir-19a/19a
hsa-mir-19b-1	hsa-miR-19b-1*	mir-19b-1/1*
