mature	genome_ID
hsa-miR-20b*	hsa-mir-20b
hsa-miR-21	hsa-mir-21
hsa-miR-21*	hsa-mir-21
hsa-miR-210	hsa-mir-210
hsa-miR-211	hsa-mir-211
hsa-miR-2110	hsa-mir-2110
hsa-miR-2113	hsa-mir-2113
hsa-miR-2114	hsa-mir-2114
hsa-miR-2114*	hsa-mir-2114
hsa-miR-2115	hsa-mir-2115
hsa-miR-2115*	hsa-mir-2115
hsa-miR-2116	hsa-mir-2116
hsa-miR-2116*	hsa-mir-2116
hsa-miR-2117	hsa-mir-2117
hsa-miR-212	hsa-mir-212
hsa-miR-214	hsa-mir-214
hsa-miR-214*	hsa-mir-214
hsa-miR-215	hsa-mir-215
hsa-miR-216a	hsa-mir-216a
hsa-miR-216b	hsa-mir-216b
hsa-miR-217	hsa-mir-217
hsa-miR-218	hsa-mir-218-1
hsa-miR-218	hsa-mir-218-2
hsa-miR-218-1*	hsa-mir-218-1
hsa-miR-218-2*	hsa-mir-218-2
hsa-miR-219-1-3p	hsa-mir-219-1
hsa-miR-219-2-3p	hsa-mir-219-2
hsa-miR-219-5p	hsa-mir-219-1
hsa-miR-219-5p	hsa-mir-219-2
hsa-miR-22	hsa-mir-22
hsa-miR-22*	hsa-mir-22
hsa-miR-220a	hsa-mir-220a
hsa-miR-220b	hsa-mir-220b
hsa-miR-220c	hsa-mir-220c
hsa-miR-221	hsa-mir-221
hsa-miR-221*	hsa-mir-221
hsa-miR-222	hsa-mir-222
hsa-miR-222*	hsa-mir-222
hsa-miR-223	hsa-mir-223
hsa-miR-223*	hsa-mir-223
hsa-miR-224	hsa-mir-224
hsa-miR-224*	hsa-mir-224
hsa-miR-2276	hsa-mir-2276
hsa-miR-2277	hsa-mir-2277
hsa-miR-2278	hsa-mir-2278
hsa-miR-23a	hsa-mir-23a
hsa-miR-23a*	hsa-mir-23a
hsa-miR-23b	hsa-mir-23b
hsa-miR-23b*	hsa-mir-23b
hsa-miR-24	hsa-mir-24-1
hsa-miR-24	hsa-mir-24-2
hsa-miR-24-1*	hsa-mir-24-1
hsa-miR-24-2*	hsa-mir-24-2
hsa-miR-25	hsa-mir-25
hsa-miR-25*	hsa-mir-25
hsa-miR-26a	hsa-mir-26a-1
hsa-miR-26a	hsa-mir-26a-2
hsa-miR-26a-1*	hsa-mir-26a-1
hsa-miR-26a-2*	hsa-mir-26a-2
hsa-miR-26b	hsa-mir-26b
hsa-miR-26b*	hsa-mir-26b
hsa-miR-27a	hsa-mir-27a
hsa-miR-27a*	hsa-mir-27a
hsa-miR-27b	hsa-mir-27b
hsa-miR-27b*	hsa-mir-27b
hsa-miR-28-3p	hsa-mir-28
hsa-miR-28-5p	hsa-mir-28
hsa-miR-296-3p	hsa-mir-296
hsa-miR-296-5p	hsa-mir-296
hsa-miR-297	hsa-mir-297
hsa-miR-298	hsa-mir-298
hsa-miR-299-3p	hsa-mir-299
hsa-miR-299-5p	hsa-mir-299
