precusor	mature	alias
hsa-mir-6859-2	hsa-miR-6859-3p	mir-6859-2/3p
hsa-mir-6859-1	hsa-miR-6859-5p	mir-6859-1/5p
hsa-mir-6859-1	hsa-miR-6859-3p	mir-6859-1/3p
hsa-mir-6858	hsa-miR-6858-5p	mir-6858/5p
hsa-mir-6858	hsa-miR-6858-3p	mir-6858/3p
hsa-mir-6857	hsa-miR-6857-5p	mir-6857/5p
hsa-mir-6857	hsa-miR-6857-3p	mir-6857/3p
hsa-mir-6856	hsa-miR-6856-5p	mir-6856/5p
hsa-mir-6856	hsa-miR-6856-3p	mir-6856/3p
hsa-mir-6855	hsa-miR-6855-5p	mir-6855/5p
hsa-mir-6855	hsa-miR-6855-3p	mir-6855/3p
hsa-mir-6854	hsa-miR-6854-5p	mir-6854/5p
hsa-mir-6854	hsa-miR-6854-3p	mir-6854/3p
hsa-mir-6853	hsa-miR-6853-5p	mir-6853/5p
hsa-mir-6853	hsa-miR-6853-3p	mir-6853/3p
hsa-mir-6852	hsa-miR-6852-5p	mir-6852/5p
hsa-mir-6852	hsa-miR-6852-3p	mir-6852/3p
hsa-mir-6851	hsa-miR-6851-5p	mir-6851/5p
hsa-mir-6851	hsa-miR-6851-3p	mir-6851/3p
hsa-mir-6850	hsa-miR-6850-5p	mir-6850/5p
hsa-mir-6850	hsa-miR-6850-3p	mir-6850/3p
hsa-mir-6849	hsa-miR-6849-5p	mir-6849/5p
hsa-mir-6849	hsa-miR-6849-3p	mir-6849/3p
hsa-mir-6848	hsa-miR-6848-5p	mir-6848/5p
hsa-mir-6848	hsa-miR-6848-3p	mir-6848/3p
hsa-mir-6847	hsa-miR-6847-5p	mir-6847/5p
hsa-mir-6847	hsa-miR-6847-3p	mir-6847/3p
hsa-mir-6846	hsa-miR-6846-5p	mir-6846/5p
hsa-mir-6846	hsa-miR-6846-3p	mir-6846/3p
hsa-mir-6845	hsa-miR-6845-5p	mir-6845/5p
hsa-mir-6845	hsa-miR-6845-3p	mir-6845/3p
hsa-mir-6842	hsa-miR-6842-5p	mir-6842/5p
hsa-mir-6842	hsa-miR-6842-3p	mir-6842/3p
hsa-mir-6841	hsa-miR-6841-5p	mir-6841/5p
hsa-mir-6841	hsa-miR-6841-3p	mir-6841/3p
hsa-mir-6840	hsa-miR-6840-5p	mir-6840/5p
hsa-mir-6840	hsa-miR-6840-3p	mir-6840/3p
hsa-mir-6839	hsa-miR-6839-5p	mir-6839/5p
hsa-mir-6839	hsa-miR-6839-3p	mir-6839/3p
hsa-mir-6838	hsa-miR-6838-5p	mir-6838/5p
hsa-mir-6838	hsa-miR-6838-3p	mir-6838/3p
hsa-mir-6837	hsa-miR-6837-5p	mir-6837/5p
hsa-mir-6837	hsa-miR-6837-3p	mir-6837/3p
hsa-mir-6836	hsa-miR-6836-5p	mir-6836/5p
hsa-mir-6836	hsa-miR-6836-3p	mir-6836/3p
hsa-mir-6835	hsa-miR-6835-5p	mir-6835/5p
hsa-mir-6835	hsa-miR-6835-3p	mir-6835/3p
hsa-mir-6834	hsa-miR-6834-5p	mir-6834/5p
hsa-mir-6834	hsa-miR-6834-3p	mir-6834/3p
hsa-mir-6833	hsa-miR-6833-5p	mir-6833/5p
hsa-mir-6833	hsa-miR-6833-3p	mir-6833/3p
hsa-mir-6832	hsa-miR-6832-5p	mir-6832/5p
hsa-mir-6832	hsa-miR-6832-3p	mir-6832/3p
hsa-mir-6831	hsa-miR-6831-5p	mir-6831/5p
hsa-mir-6831	hsa-miR-6831-3p	mir-6831/3p
hsa-mir-6830	hsa-miR-6830-5p	mir-6830/5p
hsa-mir-6830	hsa-miR-6830-3p	mir-6830/3p
hsa-mir-6829	hsa-miR-6829-5p	mir-6829/5p
hsa-mir-6829	hsa-miR-6829-3p	mir-6829/3p
hsa-mir-6828	hsa-miR-6828-5p	mir-6828/5p
hsa-mir-6828	hsa-miR-6828-3p	mir-6828/3p
hsa-mir-6827	hsa-miR-6827-5p	mir-6827/5p
